City/Town/Rural Yearly Household Income Comparison (2019),<$10K,â‰¥$150K
"Allegheny County, PA (Pittsburgh)",0.066,0.136
Rural Pennsylvania (counties pooled),0.057999999999999996,0.057999999999999996
Rural West Virginia (counties pooled),0.096,0.04
Allegheny County versus Rural Pennsylvania,0.008,0.078
Allegheny County versus Rural West Virginia,-0.03,0.096
"Philadelphia County, PA (Philadelphia)",0.127,0.094
Rural Pennsylvania (counties pooled),0.057999999999999996,0.057999999999999996
Philadelphia County versus Rural Pennsylvania,0.068,0.036000000000000004
"Los Angeles County, CA (Greater LA)",0.055999999999999994,0.18
Rural California (counties pooled),0.055999999999999994,0.085
Los Angeles County versus Rural California,0.0,0.095
"Suffolk County, MA (Boston)",0.094,0.21100000000000002
Rural New England (counties pooled),0.062,0.077
Suffolk County versus Rural New England,0.032,0.134
